user_id,signup_date,city,age,spend,frequency,recency,avg_order_value,Cluster
35,2023-03-05,Karachi,45.0,23145.0,4.0,94.0,5786.25,1
36,2025-05-08,Islamabad,32.0,43450.0,7.0,10.0,6207.142857142857,1
37,2025-04-07,Karachi,18.0,105128.0,9.0,20.0,11680.888888888889,0
38,2023-10-04,Lahore,34.0,62956.0,7.0,32.0,8993.714285714286,0
39,2024-09-23,Karachi,35.0,14259.0,3.0,18.0,4753.0,1
40,2023-06-15,Karachi,24.0,35425.0,6.0,15.0,5904.166666666667,1
41,2025-01-28,Karachi,34.0,53564.0,8.0,32.0,6695.5,1
42,2024-12-01,Karachi,30.0,35808.0,5.0,85.0,7161.6,1
43,2023-12-21,Lahore,21.0,55492.0,6.0,62.0,9248.666666666666,1
44,2023-03-09,Karachi,39.0,67386.0,8.0,18.0,8423.25,0
45,2025-08-28,Karachi,28.0,68859.0,10.0,6.0,6885.9,0
46,2024-03-21,Quetta,29.0,59518.0,8.0,16.0,7439.75,0
47,2025-06-12,Lahore,29.0,69533.0,11.0,11.0,6321.181818181818,0
48,2024-11-08,Karachi,44.0,66447.0,11.0,6.0,6040.636363636364,0
49,2025-02-17,Lahore,33.0,35945.0,5.0,118.0,7189.0,1
50,2025-01-29,Karachi,34.0,82680.0,12.0,2.0,6890.0,0
51,2023-07-14,Karachi,29.0,32283.0,5.0,41.0,6456.6,1
52,2023-12-30,Islamabad,37.0,45859.0,9.0,57.0,5095.444444444444,1
53,2024-04-11,Quetta,45.0,38967.0,6.0,69.0,6494.5,1
54,2024-05-12,Lahore,39.0,83317.0,13.0,14.0,6409.0,0
55,2023-02-13,Islamabad,39.0,50349.0,8.0,57.0,6293.625,1
56,2024-06-30,Lahore,38.0,69144.0,10.0,8.0,6914.4,0
57,2023-06-04,Lahore,21.0,76661.0,7.0,24.0,10951.57142857143,0
58,2025-01-13,Karachi,25.0,75596.0,9.0,20.0,8399.555555555555,0
59,2024-11-14,Lahore,31.0,12547.0,3.0,99.0,4182.333333333333,1
60,2025-07-11,Islamabad,26.0,21925.0,5.0,24.0,4385.0,1
61,2025-01-14,Islamabad,23.0,21329.0,5.0,13.0,4265.8,1
62,2024-01-02,Islamabad,18.0,35940.0,6.0,45.0,5990.0,1
63,2025-08-25,Karachi,21.0,62879.0,12.0,7.0,5239.916666666667,0
64,2024-02-15,Islamabad,31.0,70241.0,7.0,162.0,10034.42857142857,1
65,2023-11-22,Karachi,32.0,42501.0,9.0,23.0,4722.333333333333,1
66,2025-06-24,Lahore,26.0,40245.0,8.0,78.0,5030.625,1
67,2024-01-06,Lahore,34.0,22708.0,2.0,60.0,11354.0,1
68,2023-03-18,Islamabad,29.0,30505.0,7.0,2.0,4357.857142857143,1
69,2024-04-14,Quetta,43.0,75260.0,9.0,12.0,8362.222222222223,0
70,2025-03-06,Lahore,32.0,55807.0,7.0,23.0,7972.428571428572,1
71,2023-07-09,Karachi,39.0,108163.0,12.0,12.0,9013.583333333334,0
72,2024-04-07,Islamabad,35.0,70757.0,8.0,39.0,8844.625,0
73,2023-05-10,Multan,20.0,86510.0,12.0,18.0,7209.166666666667,0
74,2024-11-17,Karachi,32.0,44582.0,6.0,11.0,7430.333333333333,1
75,2024-04-20,Islamabad,22.0,59704.0,12.0,19.0,4975.333333333333,0
76,2023-11-27,Islamabad,32.0,41202.0,7.0,15.0,5886.0,1
77,2023-08-15,Multan,26.0,90988.0,13.0,67.0,6999.076923076923,0
78,2024-07-18,Lahore,36.0,35274.0,4.0,73.0,8818.5,1
79,2024-10-31,Quetta,21.0,27594.0,8.0,102.0,3449.25,1
80,2025-07-29,Lahore,33.0,62880.0,12.0,87.0,5240.0,0
81,2024-03-13,Multan,38.0,57725.0,11.0,8.0,5247.727272727273,0
82,2023-06-10,Lahore,41.0,71530.0,8.0,17.0,8941.25,0
83,2025-04-12,Lahore,26.0,101169.0,11.0,11.0,9197.181818181818,0
84,2024-09-21,Lahore,33.0,94484.0,10.0,43.0,9448.4,0
85,2024-12-01,Karachi,35.0,21527.0,5.0,162.0,4305.4,1
86,2023-04-08,Karachi,47.0,40845.0,8.0,91.0,5105.625,1
87,2023-11-09,Lahore,20.0,37736.0,5.0,13.0,7547.2,1
88,2025-02-06,Karachi,25.0,57353.0,10.0,27.0,5735.3,0
89,2025-04-12,Karachi,58.0,25122.0,2.0,5.0,12561.0,1
90,2024-03-11,Islamabad,31.0,46059.0,8.0,146.0,5757.375,1
91,2025-03-15,Multan,18.0,69073.0,11.0,2.0,6279.363636363636,0
92,2025-04-21,Islamabad,28.0,24624.0,5.0,35.0,4924.8,1
93,2024-01-23,Lahore,18.0,32839.0,4.0,31.0,8209.75,1
94,2025-06-17,Lahore,35.0,45902.0,5.0,58.0,9180.4,1
95,2023-10-16,Multan,40.0,47720.0,8.0,49.0,5965.0,1
96,2023-08-28,Lahore,25.0,19443.0,4.0,168.0,4860.75,1
97,2024-11-13,Karachi,29.0,67124.0,10.0,0.0,6712.4,0
98,2024-09-28,Quetta,41.0,20461.0,4.0,180.0,5115.25,1
99,2023-05-20,Quetta,18.0,24745.0,6.0,24.0,4124.166666666667,1
100,2025-04-12,Karachi,21.0,45674.0,7.0,6.0,6524.857142857143,1
101,2023-07-19,Islamabad,31.0,51856.0,7.0,48.0,7408.0,1
102,2025-03-15,Karachi,26.0,37489.0,5.0,28.0,7497.8,1
103,2023-01-08,Islamabad,30.0,59100.0,7.0,25.0,8442.857142857143,0
104,2025-03-07,Lahore,22.0,52803.0,8.0,32.0,6600.375,1
105,2025-02-25,Lahore,35.0,74076.0,9.0,48.0,8230.666666666666,0
106,2025-02-19,Islamabad,32.0,108353.0,10.0,5.0,10835.3,0
107,2024-10-26,Lahore,38.0,28709.0,7.0,1.0,4101.285714285715,1
108,2024-04-16,Islamabad,35.0,45870.0,6.0,14.0,7645.0,1
109,2024-12-06,Karachi,35.0,90184.0,11.0,29.0,8198.545454545454,0
110,2023-10-05,Multan,20.0,61430.0,11.0,51.0,5584.545454545455,0
111,2025-02-19,Multan,37.0,81005.0,9.0,36.0,9000.555555555555,0
112,2024-07-09,Karachi,30.0,31381.0,6.0,40.0,5230.166666666667,1
113,2024-04-03,Islamabad,32.0,64647.0,7.0,33.0,9235.285714285714,0
114,2024-05-20,Lahore,42.0,155798.0,15.0,10.0,10386.533333333333,0
115,2024-07-22,Karachi,27.0,83226.0,9.0,74.0,9247.333333333334,0
116,2023-02-07,Lahore,45.0,93481.0,10.0,9.0,9348.1,0
117,2023-05-20,Multan,46.0,107976.0,10.0,3.0,10797.6,0
118,2023-09-03,Multan,40.0,79844.0,10.0,5.0,7984.4,0
119,2023-04-25,Multan,24.0,75716.0,11.0,7.0,6883.272727272727,0
120,2024-03-15,Multan,18.0,105242.0,9.0,47.0,11693.555555555557,0
121,2024-10-30,Quetta,43.0,60505.0,11.0,44.0,5500.454545454545,0
122,2024-10-16,Lahore,34.0,86297.0,10.0,65.0,8629.7,0
123,2024-04-16,Quetta,26.0,40506.0,7.0,6.0,5786.571428571428,1
124,2025-05-05,Karachi,44.0,37383.0,7.0,31.0,5340.428571428572,1
125,2024-07-19,Karachi,25.0,47292.0,7.0,21.0,6756.0,1
126,2023-03-21,Karachi,29.0,56615.0,5.0,21.0,11323.0,0
127,2025-02-03,Karachi,38.0,60117.0,8.0,24.0,7514.625,0
128,2024-07-28,Lahore,23.0,56260.0,9.0,6.0,6251.111111111111,0
129,2024-09-26,Lahore,32.0,32941.0,5.0,153.0,6588.2,1
130,2024-07-19,Lahore,43.0,38471.0,7.0,19.0,5495.857142857143,1
131,2024-07-07,Karachi,35.0,39528.0,8.0,3.0,4941.0,1
132,2023-04-01,Multan,44.0,33002.0,4.0,92.0,8250.5,1
133,2024-07-13,Islamabad,43.0,56611.0,9.0,72.0,6290.111111111111,1
134,2025-03-05,Karachi,33.0,66188.0,12.0,22.0,5515.666666666667,0
135,2023-10-31,Karachi,18.0,64252.0,9.0,7.0,7139.111111111111,0
136,2024-08-25,Karachi,23.0,59383.0,9.0,44.0,6598.111111111111,0
137,2023-01-31,Lahore,40.0,38143.0,5.0,4.0,7628.6,1
138,2023-12-14,Multan,19.0,16789.0,3.0,65.0,5596.333333333333,1
139,2024-03-12,Lahore,30.0,74361.0,12.0,52.0,6196.75,0
140,2025-09-09,Islamabad,36.0,70445.0,6.0,72.0,11740.833333333334,0
141,2023-08-03,Islamabad,46.0,61994.0,9.0,8.0,6888.222222222223,0
142,2023-10-04,Karachi,28.0,36462.0,7.0,15.0,5208.857142857143,1
143,2024-02-13,Multan,27.0,74788.0,9.0,22.0,8309.777777777777,0
144,2025-09-19,Lahore,33.0,74646.0,12.0,25.0,6220.5,0
145,2025-05-03,Multan,36.0,66006.0,10.0,21.0,6600.6,0
146,2023-02-04,Islamabad,32.0,69900.0,7.0,13.0,9985.714285714286,0
147,2023-08-22,Islamabad,42.0,24674.0,5.0,59.0,4934.8,1
148,2025-04-01,Islamabad,26.0,62923.0,10.0,1.0,6292.3,0
149,2023-02-28,Multan,34.0,104129.0,13.0,13.0,8009.923076923077,0
150,2025-05-05,Quetta,37.0,37739.0,7.0,7.0,5391.285714285715,1
151,2023-10-09,Karachi,29.0,76544.0,9.0,10.0,8504.888888888889,0
152,2025-07-06,Multan,41.0,22532.0,3.0,0.0,7510.666666666667,1
153,2023-10-21,Islamabad,34.0,29162.0,7.0,3.0,4166.0,1
154,2024-03-10,Karachi,40.0,91523.0,10.0,37.0,9152.3,0
155,2024-10-23,Quetta,35.0,113347.0,11.0,31.0,10304.272727272728,0
156,2023-05-07,Karachi,36.0,87531.0,9.0,28.0,9725.666666666666,0
157,2024-07-11,Karachi,27.0,45907.0,8.0,74.0,5738.375,1
158,2024-05-20,Lahore,27.0,139876.0,16.0,25.0,8742.25,0
159,2025-02-22,Lahore,44.0,51778.0,7.0,65.0,7396.857142857143,1
160,2025-09-23,Multan,39.0,120515.0,11.0,33.0,10955.90909090909,0
161,2024-10-26,Karachi,24.0,34263.0,6.0,97.0,5710.5,1
162,2024-02-14,Karachi,35.0,43391.0,7.0,45.0,6198.714285714285,1
163,2024-02-11,Lahore,18.0,20718.0,6.0,10.0,3453.0,1
164,2024-02-22,Karachi,28.0,33464.0,6.0,73.0,5577.333333333333,1
165,2025-03-25,Multan,42.0,98822.0,11.0,59.0,8983.818181818182,0
166,2023-11-18,Multan,32.0,81282.0,8.0,1.0,10160.25,0
167,2023-06-16,Lahore,34.0,49777.0,6.0,27.0,8296.166666666666,1
168,2023-12-01,Karachi,18.0,19715.0,3.0,40.0,6571.666666666667,1
169,2023-01-23,Karachi,29.0,49156.0,9.0,79.0,5461.777777777777,1
170,2023-04-17,Islamabad,36.0,139096.0,13.0,7.0,10699.692307692309,0
171,2023-04-01,Karachi,37.0,62770.0,8.0,84.0,7846.25,1
172,2025-02-10,Karachi,42.0,15760.0,4.0,107.0,3940.0,1
173,2024-12-23,Karachi,31.0,72049.0,12.0,22.0,6004.083333333333,0
174,2024-11-27,Karachi,32.0,97127.0,14.0,2.0,6937.642857142857,0
175,2024-04-06,Karachi,21.0,61297.0,9.0,34.0,6810.777777777777,0
176,2024-12-18,Karachi,31.0,29047.0,6.0,43.0,4841.166666666667,1
177,2023-06-11,Multan,22.0,48961.0,10.0,1.0,4896.1,0
178,2025-06-19,Islamabad,18.0,107575.0,14.0,40.0,7683.928571428572,0
179,2024-05-16,Karachi,23.0,49045.0,10.0,7.0,4904.5,1
180,2025-07-27,Multan,47.0,101019.0,14.0,16.0,7215.642857142857,0
181,2023-06-02,Multan,31.0,21379.0,4.0,113.0,5344.75,1
182,2024-05-12,Lahore,35.0,81435.0,7.0,39.0,11633.57142857143,0
183,2024-11-27,Karachi,28.0,57282.0,7.0,4.0,8183.142857142857,0
184,2024-05-10,Lahore,18.0,29677.0,3.0,18.0,9892.333333333334,1
185,2024-03-22,Islamabad,41.0,113514.0,13.0,27.0,8731.846153846154,0
186,2023-06-16,Lahore,18.0,106543.0,9.0,4.0,11838.111111111111,0
187,2024-01-17,Islamabad,28.0,35854.0,5.0,76.0,7170.8,1
188,2023-08-27,Lahore,33.0,55396.0,9.0,9.0,6155.111111111111,0
189,2023-10-29,Karachi,35.0,17254.0,6.0,26.0,2875.6666666666665,1
190,2024-11-14,Quetta,26.0,66485.0,7.0,24.0,9497.857142857143,0
191,2024-09-22,Karachi,18.0,48772.0,6.0,79.0,8128.666666666667,1
192,2024-08-30,Multan,26.0,13039.0,4.0,56.0,3259.75,1
193,2023-12-28,Quetta,26.0,68816.0,11.0,10.0,6256.0,0
194,2025-08-17,Multan,26.0,28157.0,6.0,20.0,4692.833333333333,1
195,2023-03-29,Lahore,42.0,100291.0,9.0,13.0,11143.444444444443,0
196,2023-12-09,Multan,22.0,74495.0,8.0,59.0,9311.875,0
197,2023-04-29,Lahore,36.0,26767.0,4.0,69.0,6691.75,1
198,2023-12-05,Karachi,34.0,110670.0,13.0,3.0,8513.076923076924,0
199,2025-08-19,Multan,42.0,41307.0,7.0,31.0,5901.0,1
200,2024-01-02,Islamabad,32.0,59412.0,7.0,59.0,8487.42857142857,1
201,2025-06-27,Karachi,40.0,25621.0,6.0,252.0,4270.166666666667,1
202,2024-05-10,Karachi,31.0,62433.0,8.0,17.0,7804.125,0
203,2024-11-30,Multan,37.0,72198.0,11.0,4.0,6563.454545454545,0
204,2024-04-02,Islamabad,19.0,60867.0,8.0,77.0,7608.375,1
205,2023-09-23,Karachi,18.0,109288.0,13.0,45.0,8406.76923076923,0
206,2025-02-03,Multan,36.0,24162.0,5.0,62.0,4832.4,1
207,2025-08-27,Lahore,37.0,30320.0,6.0,83.0,5053.333333333333,1
208,2023-09-21,Lahore,37.0,42877.0,6.0,53.0,7146.166666666667,1
209,2025-02-17,Islamabad,28.0,54953.0,9.0,63.0,6105.888888888889,1
210,2023-09-19,Quetta,46.0,134885.0,17.0,8.0,7934.411764705882,0
211,2024-12-17,Lahore,29.0,4006.0,1.0,193.0,4006.0,1
212,2025-02-28,Lahore,37.0,125429.0,16.0,17.0,7839.3125,0
213,2024-03-25,Lahore,38.0,25651.0,5.0,51.0,5130.2,1
214,2025-01-06,Multan,48.0,41301.0,6.0,44.0,6883.5,1
215,2023-09-30,Lahore,30.0,47535.0,6.0,0.0,7922.5,1
216,2023-03-21,Karachi,27.0,39183.0,7.0,51.0,5597.571428571428,1
217,2023-04-07,Quetta,20.0,81720.0,8.0,3.0,10215.0,0
218,2024-03-23,Lahore,47.0,73226.0,10.0,31.0,7322.6,0
219,2025-06-21,Karachi,37.0,43811.0,9.0,8.0,4867.888888888889,1
220,2023-05-08,Karachi,37.0,27928.0,6.0,115.0,4654.666666666667,1
221,2024-03-31,Multan,61.0,48305.0,9.0,33.0,5367.222222222223,1
222,2024-12-05,Karachi,36.0,68802.0,10.0,49.0,6880.2,0
223,2023-07-22,Karachi,21.0,99830.0,9.0,131.0,11092.222222222224,0
224,2024-12-22,Lahore,31.0,64187.0,7.0,40.0,9169.57142857143,0
225,2023-11-02,Islamabad,24.0,78966.0,9.0,173.0,8774.0,0
226,2025-03-19,Islamabad,29.0,39120.0,7.0,31.0,5588.571428571428,1
227,2024-08-02,Lahore,29.0,52322.0,10.0,63.0,5232.2,1
228,2024-06-30,Karachi,28.0,19813.0,3.0,48.0,6604.333333333333,1
229,2023-06-26,Multan,20.0,103425.0,11.0,4.0,9402.272727272728,0
230,2024-04-08,Lahore,47.0,9176.0,2.0,73.0,4588.0,1
231,2025-05-06,Lahore,36.0,24489.0,3.0,115.0,8163.0,1
232,2023-01-20,Karachi,31.0,43241.0,6.0,146.0,7206.833333333333,1
233,2025-01-28,Karachi,40.0,59076.0,8.0,4.0,7384.5,0
234,2024-05-07,Lahore,37.0,52025.0,6.0,68.0,8670.833333333334,1
235,2024-12-20,Karachi,35.0,66788.0,11.0,21.0,6071.636363636364,0
236,2024-10-25,Lahore,39.0,37219.0,7.0,103.0,5317.0,1
237,2024-03-08,Karachi,34.0,46333.0,7.0,1.0,6619.0,1
238,2023-11-05,Islamabad,39.0,37777.0,6.0,18.0,6296.166666666667,1
239,2024-09-19,Karachi,40.0,80486.0,8.0,64.0,10060.75,0
240,2023-05-21,Lahore,34.0,9128.0,2.0,4.0,4564.0,1
241,2024-08-07,Multan,31.0,76089.0,7.0,8.0,10869.857142857143,0
242,2023-04-05,Lahore,47.0,59228.0,8.0,35.0,7403.5,0
243,2024-10-11,Islamabad,29.0,41210.0,6.0,79.0,6868.333333333333,1
244,2024-09-20,Karachi,37.0,73391.0,6.0,22.0,12231.833333333334,0
245,2023-03-26,Islamabad,37.0,73416.0,8.0,3.0,9177.0,0
246,2025-01-27,Lahore,28.0,54338.0,7.0,82.0,7762.571428571428,1
247,2024-02-20,Lahore,26.0,20159.0,5.0,110.0,4031.8,1
248,2025-02-25,Karachi,30.0,44969.0,7.0,24.0,6424.142857142857,1
249,2023-02-11,Lahore,29.0,70423.0,9.0,15.0,7824.777777777777,0
250,2023-06-29,Lahore,20.0,42930.0,8.0,8.0,5366.25,1
251,2024-05-08,Islamabad,27.0,44256.0,5.0,19.0,8851.2,1
252,2023-07-08,Multan,35.0,54923.0,9.0,4.0,6102.555555555556,0
253,2023-11-26,Lahore,44.0,24353.0,5.0,231.0,4870.6,1
254,2024-10-22,Multan,38.0,74966.0,9.0,42.0,8329.555555555555,0
255,2023-05-25,Islamabad,18.0,56873.0,10.0,43.0,5687.3,0
256,2024-11-08,Multan,39.0,36590.0,7.0,39.0,5227.142857142857,1
257,2023-04-14,Islamabad,28.0,40854.0,9.0,73.0,4539.333333333333,1
258,2023-06-25,Islamabad,37.0,48638.0,9.0,117.0,5404.222222222223,1
259,2024-08-10,Karachi,33.0,19939.0,6.0,138.0,3323.1666666666665,1
260,2025-03-04,Islamabad,31.0,33870.0,5.0,0.0,6774.0,1
261,2023-06-20,Multan,32.0,103169.0,10.0,160.0,10316.9,0
262,2023-10-27,Lahore,33.0,40536.0,7.0,8.0,5790.857142857143,1
263,2025-07-14,Karachi,45.0,38535.0,8.0,2.0,4816.875,1
264,2025-09-16,Lahore,33.0,71458.0,11.0,74.0,6496.181818181818,0
265,2024-08-04,Quetta,43.0,25874.0,4.0,30.0,6468.5,1
266,2024-03-23,Karachi,41.0,54001.0,8.0,95.0,6750.125,1
267,2023-12-13,Islamabad,39.0,45281.0,8.0,0.0,5660.125,1
268,2024-09-04,Multan,18.0,35930.0,6.0,8.0,5988.333333333333,1
269,2024-08-13,Quetta,43.0,58314.0,8.0,62.0,7289.25,1
270,2023-10-22,Lahore,29.0,71931.0,10.0,61.0,7193.1,0
271,2023-01-23,Islamabad,39.0,62976.0,10.0,26.0,6297.6,0
272,2023-06-01,Multan,24.0,43733.0,7.0,107.0,6247.571428571428,1
273,2025-08-16,Lahore,22.0,66414.0,7.0,2.0,9487.714285714286,0
274,2024-02-23,Islamabad,51.0,46726.0,5.0,63.0,9345.2,1
275,2024-04-27,Karachi,24.0,81109.0,10.0,82.0,8110.9,0
276,2024-04-12,Islamabad,43.0,75885.0,9.0,101.0,8431.666666666666,0
277,2025-02-21,Karachi,34.0,122240.0,15.0,1.0,8149.333333333333,0
278,2023-03-06,Lahore,29.0,42813.0,6.0,8.0,7135.5,1
279,2023-03-24,Lahore,33.0,50314.0,11.0,18.0,4574.0,0
280,2023-10-03,Lahore,21.0,81776.0,9.0,38.0,9086.222222222224,0
281,2024-05-01,Lahore,33.0,61151.0,9.0,25.0,6794.555555555556,0
282,2024-11-02,Islamabad,23.0,71297.0,10.0,28.0,7129.7,0
283,2024-05-05,Karachi,29.0,40742.0,8.0,14.0,5092.75,1
284,2024-03-17,Lahore,41.0,65170.0,9.0,0.0,7241.111111111111,0
285,2025-07-26,Islamabad,35.0,359.0,1.0,82.0,359.0,1
286,2023-06-11,Islamabad,20.0,36724.0,6.0,6.0,6120.666666666667,1
287,2024-07-25,Karachi,41.0,70876.0,11.0,0.0,6443.272727272727,0
288,2024-06-26,Quetta,33.0,22688.0,7.0,8.0,3241.1428571428573,1
289,2024-04-18,Karachi,28.0,48299.0,8.0,42.0,6037.375,1
290,2025-03-18,Multan,40.0,72761.0,8.0,52.0,9095.125,0
291,2023-09-24,Lahore,31.0,36328.0,5.0,63.0,7265.6,1
292,2025-08-11,Islamabad,23.0,91062.0,13.0,3.0,7004.769230769231,0
293,2023-11-28,Quetta,50.0,77966.0,11.0,34.0,7087.818181818182,0
294,2024-06-29,Multan,33.0,30333.0,5.0,37.0,6066.6,1
295,2024-06-04,Karachi,32.0,59543.0,10.0,24.0,5954.3,0
296,2025-04-29,Islamabad,29.0,50639.0,9.0,104.0,5626.555555555556,1
297,2024-03-14,Karachi,44.0,85102.0,14.0,44.0,6078.714285714285,0
298,2023-10-12,Islamabad,28.0,39501.0,7.0,70.0,5643.0,1
299,2023-01-22,Islamabad,19.0,98631.0,15.0,12.0,6575.4,0
300,2023-12-30,Quetta,27.0,46332.0,6.0,1.0,7722.0,1
301,2025-04-06,Karachi,45.0,27923.0,7.0,9.0,3989.0,1
302,2023-01-10,Lahore,40.0,123864.0,12.0,12.0,10322.0,0
303,2025-06-15,Karachi,31.0,85066.0,13.0,2.0,6543.538461538462,0
304,2024-06-26,Lahore,45.0,43284.0,8.0,69.0,5410.5,1
305,2023-05-21,Lahore,40.0,34900.0,5.0,1.0,6980.0,1
306,2023-10-30,Karachi,31.0,90964.0,9.0,23.0,10107.111111111111,0
307,2024-07-08,Islamabad,32.0,84297.0,8.0,32.0,10537.125,0
308,2023-11-12,Lahore,36.0,61764.0,10.0,10.0,6176.4,0
309,2023-04-19,Lahore,26.0,56503.0,8.0,19.0,7062.875,0
310,2024-10-27,Lahore,33.0,66209.0,9.0,47.0,7356.555555555556,0
311,2024-11-03,Multan,36.0,41939.0,5.0,60.0,8387.8,1
312,2023-04-29,Islamabad,18.0,69155.0,7.0,37.0,9879.285714285714,0
313,2023-10-09,Lahore,31.0,22673.0,3.0,17.0,7557.666666666667,1
314,2023-09-01,Lahore,30.0,73476.0,7.0,107.0,10496.57142857143,0
315,2024-10-21,Karachi,42.0,46541.0,7.0,82.0,6648.714285714285,1
316,2024-12-31,Lahore,18.0,33104.0,5.0,19.0,6620.8,1
317,2024-12-27,Karachi,30.0,46638.0,7.0,90.0,6662.571428571428,1
318,2025-07-27,Karachi,29.0,109171.0,15.0,31.0,7278.066666666667,0
319,2025-02-07,Quetta,42.0,46786.0,5.0,61.0,9357.2,1
320,2023-11-17,Lahore,33.0,22221.0,3.0,220.0,7407.0,1
321,2023-04-18,Islamabad,49.0,51551.0,6.0,21.0,8591.833333333334,1
322,2024-09-06,Lahore,39.0,88622.0,11.0,35.0,8056.545454545455,0
323,2025-07-05,Quetta,29.0,37798.0,6.0,54.0,6299.666666666667,1
324,2025-09-02,Quetta,35.0,50773.0,7.0,0.0,7253.285714285715,1
325,2023-08-19,Islamabad,30.0,60537.0,6.0,90.0,10089.5,1
326,2023-08-25,Karachi,41.0,58450.0,6.0,22.0,9741.666666666666,0
327,2023-02-07,Lahore,21.0,20264.0,4.0,123.0,5066.0,1
328,2023-05-22,Multan,26.0,38362.0,3.0,18.0,12787.333333333334,1
329,2024-07-08,Islamabad,37.0,37759.0,6.0,58.0,6293.166666666667,1
330,2024-06-30,Lahore,44.0,67706.0,13.0,3.0,5208.153846153846,0
331,2024-01-06,Karachi,18.0,88021.0,11.0,27.0,8001.909090909091,0
332,2023-11-06,Karachi,45.0,56889.0,8.0,14.0,7111.125,0
333,2025-04-09,Multan,32.0,59411.0,7.0,9.0,8487.285714285714,0
334,2024-04-05,Islamabad,18.0,40321.0,6.0,173.0,6720.166666666667,1
335,2025-03-19,Islamabad,18.0,116417.0,10.0,42.0,11641.7,0
336,2025-08-21,Islamabad,19.0,41822.0,8.0,3.0,5227.75,1
337,2023-11-14,Lahore,33.0,31617.0,6.0,2.0,5269.5,1
338,2023-07-22,Karachi,32.0,62540.0,9.0,76.0,6948.888888888889,0
339,2025-08-10,Lahore,39.0,61968.0,4.0,123.0,15492.0,0
340,2024-09-26,Islamabad,28.0,97927.0,13.0,17.0,7532.846153846154,0
341,2023-10-18,Karachi,23.0,39160.0,7.0,43.0,5594.285714285715,1
342,2024-09-13,Karachi,29.0,94744.0,11.0,55.0,8613.09090909091,0
343,2024-05-30,Lahore,33.0,82670.0,9.0,6.0,9185.555555555557,0
344,2025-06-24,Lahore,35.0,35710.0,6.0,77.0,5951.666666666667,1
345,2023-09-13,Karachi,26.0,80163.0,9.0,70.0,8907.0,0
346,2025-09-18,Lahore,41.0,62430.0,9.0,16.0,6936.666666666667,0
347,2025-07-25,Lahore,27.0,51021.0,8.0,11.0,6377.625,1
348,2023-06-30,Islamabad,25.0,71961.0,10.0,3.0,7196.1,0
349,2023-06-14,Karachi,28.0,53019.0,9.0,8.0,5891.0,0
350,2024-06-17,Karachi,43.0,69998.0,11.0,69.0,6363.454545454545,0
